index,true,pred_label,pred_prob,base_value,shap_sBytesAvg,shap_rBytesAvg,shap_rFinRate,shap_sttl,shap_rttl,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sInterPacketAvg,shap_rInterPacketAvg
0,0,0,1.0,0.19712148387941528,0.002668898515305239,-9.083623652981498e-05,0.001011851635469155,0.005081555674601765,0.006181249101326439,0.11165165168600191,0.020104104195959975,0.15670008968490406,0.4200399150329146,-0.00636644317370302,-0.005119986595826042,0.08773312878547707,0.0032833378147015986
1,0,0,1.0,0.19712148387941528,-0.0003550196603933165,0.004966129342656172,0.0008762282829697186,0.09587121650075174,0.003452196263172721,0.010342351941722495,0.6903844564296433,0.08365523407869462,-0.11860521459235475,0.021146604921996003,0.002420476417830622,-0.02226546128756798,0.030989317481481177
2,1,1,1.0,0.8028785161205847,-0.0037842584081712104,0.004374733202313061,-0.0008627462987004267,0.03691760397589953,0.09590937367201377,-0.001440364483951065,0.019813789665198464,-0.177211190879302,-0.009465984974018028,0.04993900169134027,-0.0011514063167389163,-0.0015470687115348076,0.185630001745096
3,1,1,1.0,0.8028785161205847,0.0036225937522117646,0.000822092380640687,-0.0009083981991654465,-0.007819990177207057,-0.004400359049965921,-0.10417227872016141,0.06945395742737044,-0.0038885873713596143,0.16380075601170996,0.013862338199116902,-0.003889852662615192,-0.022453415134638936,0.09309262742350857
4,0,0,1.0,0.19712148387941528,-0.0006228227871662153,0.00531491933796984,0.00023650189258161904,0.09587121650075174,0.027471222467452483,0.010636791611593468,0.6840288430167498,0.05388942579377286,-0.04983910647004654,0.02017170107908907,0.002806776100509121,-0.032944651805816114,-0.014142300616839479
5,1,1,1.0,0.8028785161205847,0.00048770213557628567,-0.0018950931973377395,-0.0018978908476257527,-0.004728017359038489,-0.007855077383979142,-0.0018528471392237232,0.026648091559131136,-0.08769310158361474,0.36212922522521224,-0.04838395249913694,-0.0008770562907464987,-0.006719642939160308,-0.030240855800612487
6,0,0,1.0,0.19712148387941528,-0.0011453179059395207,0.002993584181231839,0.0011567063128333959,0.007734383090046013,0.007066786873894761,0.002656167630980047,0.01281662481350973,0.033052711206132124,0.623580035558376,0.019053192437088022,0.0020325626222798096,0.024767782002599468,0.06711329729757103
7,0,0,1.0,0.19712148387941528,0.002668898515305239,-9.083623652981498e-05,0.001011851635469155,0.005081555674601765,0.006181249101326439,0.11165165168600191,0.020104104195959975,0.15670008968490406,0.4200399150329146,-0.00636644317370302,-0.005119986595826042,0.08773312878547707,0.0032833378147015986
8,0,0,1.0,0.19712148387941528,-0.0008068906248749715,0.00174771999882596,0.0008762282829697186,0.09587121650075174,0.0037532448961734204,0.0011286638422856369,0.7080189157870456,0.06828021119915403,-0.10097075523495264,0.01840484036461041,0.002627363414394867,-0.0307304870991247,0.0346782447933436
9,0,0,1.0,0.19712148387941528,-0.000833761501094564,0.00202844594835066,0.00023650189258161904,0.09587121650075174,0.027471222467452483,0.0012653552807071146,0.6879281711853515,0.057788753962374595,-0.04593977830144482,0.017443236839115986,0.002806776100509121,-0.032944651805816114,-0.010242972448237738
10,0,0,1.0,0.19712148387941528,-0.0010666619119753132,0.0024964278308746944,0.0026729011272571563,0.007413612139274828,0.013723960254702556,0.0026561676309800495,0.0004789434700313707,0.0035641734125004356,0.6289064278521206,0.04251765262277015,0.0015971260293839858,0.02683736284987096,0.07108042281281102
11,0,0,1.0,0.19712148387941528,-0.0008845558716026095,0.0021524827658386853,0.00023650189258161904,0.09587121650075174,0.027471222467452483,0.001224048713230303,0.701539082713858,0.025983009372747338,-0.032328866772938634,0.008387326010449262,0.002806776100509121,-0.032947666852543855,0.003367939080268421
12,0,0,1.0,0.19712148387941528,0.002668898515305239,-9.083623652981498e-05,0.001011851635469155,0.005081555674601765,0.006181249101326439,0.11165165168600191,0.020104104195959975,0.15670008968490406,0.4200399150329146,-0.00636644317370302,-0.005119986595826042,0.08773312878547707,0.0032833378147015986
13,1,1,1.0,0.8028785161205847,-0.011003097099530401,-0.001661568243753714,-0.00038223703950970254,-0.0027797422151182834,0.06900796059641419,-0.001572205400724884,0.007507279189281785,-0.07224911219182224,0.27456901033906117,-0.00039136626789776016,-0.06744070669108627,0.010098819398886929,-0.006581550494756675
