index,true,pred_label,pred_prob,base_value,shap_start,shap_end,shap_startOffset,shap_endOffset,shap_duration,shap_sPackets,shap_rPackets,shap_sBytesSum,shap_rBytesSum,shap_sBytesMax,shap_rBytesMax,shap_sBytesMin,shap_rBytesMin,shap_sBytesAvg,shap_rBytesAvg,shap_sLoad,shap_rLoad,shap_sPayloadSum,shap_rPayloadSum,shap_sPayloadMax,shap_rPayloadMax,shap_sPayloadMin,shap_rPayloadMin,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg,shap_sttl,shap_rttl,shap_sAckRate,shap_rAckRate,shap_sUrgRate,shap_rUrgRate,shap_sFinRate,shap_rFinRate,shap_sPshRate,shap_rPshRate,shap_sSynRate,shap_rSynRate,shap_sRstRate,shap_rRstRate,shap_sWinTCP,shap_rWinTCP,shap_sFragmentRate,shap_rFragmentRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sAckDelayMin,shap_rAckDelayMin,shap_sAckDelayAvg,shap_label
0,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0062546236459903315,0.33073535697833184
1,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
2,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
3,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
4,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
5,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
6,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
7,1,1,1.0,0.8000000000000067,0.10571640377162622,0.019999999999997787,-0.00193468630884875,0.0,0.0,5.178149575790769e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006517999312855406,0.0,0.0,0.0,5.065392549852277e-16,0.0,0.0,0.0,0.0,-3.8163916471489756e-17,0.0,0.0,1.0191500421363742e-17,1.0408340855860843e-16,0.0,0.0,0.0,0.0,0.0,-3.9985376121265404e-16,0.0,0.0,0.0,-6.505213034913027e-19,0.0,-3.550762114890027e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00523839981960318,0.08797468166966625
8,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
9,0,0,1.0,0.19999999999999335,0.37896127245728484,0.07999999999999793,0.010039994897542731,0.0,0.0,0.0,0.0,1.12865446155741e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006517999312837228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3118846287074604e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.663872149064275e-16,0.0,0.0,0.0,0.0,0.0,-5.037203293367654e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238399819622021,0.31924233351271947
