index,true,pred_label,pred_prob,base_value,shap_sBytesAvg,shap_rBytesAvg,shap_rFinRate,shap_sttl,shap_rttl,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sInterPacketAvg,shap_rInterPacketAvg
0,0,0,1.0,0.19712148387945444,0.008371303654446235,-0.023598797647484324,0.00015207442007320423,0.0009338032827036452,0.014263806591629609,0.06889036002036951,-0.019692928649597728,0.15500375978787828,0.3955637790756889,0.0014285299234051575,-0.0011040221333253608,0.026506389136564168,0.17616045865822128
1,0,0,1.0,0.19712148387945444,-0.0017292992310625642,0.010110225842087551,0.002380715834557955,0.003917199188170869,0.11776942311100329,0.003953833942663664,0.4120196506998985,0.09622730278951888,-0.10232463488199774,0.0415298686095881,0.007650112593774362,-0.00600414868438725,0.21737826630675708
2,1,1,1.0,0.8028785161205455,-0.0005299831748352907,-0.0006571505871167199,-0.00044099822584591056,0.00014768268966066172,0.05012400460640699,-0.0010975455868888883,0.008075689183038269,0.09755560054447143,0.07049737167255446,0.0076972812031864,-0.003031334786095796,-0.0033013371668016707,-0.02791779649229069
3,1,1,1.0,0.8028785161205455,0.003409143372187712,0.04171269238996399,-0.0008199323984540144,-0.0006065068724718349,-0.009542400769409992,-0.06811875323337492,0.04243765370801089,0.09864881026950434,0.17231764007246872,0.01783452123073409,-0.008991689108548149,0.03308202102794997,-0.12424171580911736
4,0,0,1.0,0.19712148387945444,-0.005707718830825443,0.011868067934258228,0.0003160411962183474,0.0006065068724718336,0.024053862693117566,0.019982173304305118,0.3582243092001228,0.053491622154287245,0.16375655348722484,0.03957788281382889,0.014615799612935253,-0.050990737889729854,0.17308415357235737
5,1,1,1.0,0.8028785161205455,0.0002620567665412582,-0.004005579055971928,-0.0008984589414627256,-0.0010225995727421446,-0.011550733907919034,-0.0011195850941599116,0.035140390226528165,0.16168435096597158,0.0971334286332992,-0.01948538249941643,-0.005008854553760748,-0.007480438757175337,-0.046527110330288515
6,0,0,1.0,0.19712148387945444,-0.00701841568381028,0.00544260275872357,0.0003160411962183474,0.0006065068724718334,0.06030415884076382,0.016603553385991895,-0.05244891411159606,0.028738180618425615,0.3806579231387269,0.002796006260914797,0.014386999196718287,0.16764403434464947,0.18484983930237456
7,0,0,1.0,0.19712148387945444,0.008371303654446235,-0.023598797647484324,0.00015207442007320423,0.0009338032827036452,0.014263806591629609,0.06889036002036951,-0.019692928649597728,0.15500375978787828,0.3955637790756889,0.0014285299234051575,-0.0011040221333253608,0.026506389136564168,0.17616045865822128
8,0,0,1.0,0.19712148387945444,-0.0017998960802818543,0.011229820923083935,0.0023807158345579573,0.0021137357037074095,0.11908099575561765,0.0014533803814372793,0.4411761516296228,0.05509659443256774,-0.08134783632591215,0.04102097699054816,0.007928637051146272,-0.013557150293768548,0.2181023901182461
9,0,0,1.0,0.19712148387945444,-0.0060109719073533525,0.004612776651238831,0.0003160411962183474,0.0006065068724718336,0.024053862693117566,0.009675621161598228,0.3659526039096677,0.05193213765697822,0.17148484819676987,0.035825209171863874,0.014615799612935253,-0.05099836737683663,0.18081244828190238
10,0,0,1.0,0.19712148387945444,-0.002711369993994468,0.003999578915681245,0.002380715834557955,0.0006065068724718334,0.06534595665714972,0.0024446691748738984,-0.03740416976932718,0.22881735586782356,0.31289059631438587,0.041852898526727765,0.008254599510751427,0.04917463852654457,0.12722653968292688
