index,true,pred_label,pred_prob,base_value,shap_sBytesAvg,shap_rBytesAvg,shap_rFinRate,shap_rSynRate,shap_sttl,shap_rttl,shap_rAckRate,shap_sAckDelayMax,shap_rAckDelayMax,shap_sPackets,shap_rPackets,shap_sWinTCP,shap_rWinTCP,shap_sPayloadAvg,shap_rPayloadAvg,shap_sInterPacketAvg,shap_rInterPacketAvg
0,Normal,Normal,1.0,0.003848969837445667,-0.001453128797774767,0.06460776236438136,5.984273082152664e-06,0.0,0.0009514730974051907,0.23035998335910207,0.0,0.025025357526955005,0.2793591714277305,0.17437165424432946,0.010123590947059316,0.08377594652872537,-0.0008091087918873584,0.0013910049413448657,0.0015745473219167386,-0.06409462608150893,0.1909614178016948
1,Normal,Normal,1.0,0.003848969837445667,-0.001360400134991451,0.06460776236438136,5.984273082152664e-06,0.0,0.00375805147059573,0.22848689186065194,0.0,0.016349769498347134,0.2731321933276215,0.1734433846846286,0.03270918304436494,0.08143028087977412,7.070105450837476e-05,0.0013908820382550532,0.0012823166362571962,-0.06594000829458659,0.1867840374596657
2,mitm,mitm,1.0,0.05467503361194942,0.032263382913962316,0.1689761896665948,0.00011974320869084333,0.0,1.2636869204556686e-05,0.0008609497341190756,0.0,0.01598553455556744,-1.2450214970560624e-05,0.2832748879612692,0.21197471518166405,0.01683943839625498,0.0006912244690783012,-0.00837508929034193,0.001983676852867516,0.008931647683145201,0.21179847840096577
3,ip-scan,ip-scan,0.9854046973739461,0.735834827360688,-0.042470234468818036,0.05595948771897955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.812476408679802e-06,0.0,0.0053857590330581235,0.23069104525378215
4,Normal,Normal,1.0,0.003848969837445667,0.17680975459289955,0.0010597143655577948,2.888544940404357e-06,0.0,0.0010011755730090402,0.004842638132510981,0.0,0.06805295143345966,-0.004674214175438385,0.292561471958133,0.06009927412594138,-0.004991832846732857,-6.814227880268927e-06,0.00020268469564941946,0.00020679288496216442,0.0009122634935736274,0.4000722816119707
5,ddos,ddos,1.0,0.07305082050327101,-0.0001492753597843554,0.0,0.0,0.0,0.0,2.1592176726815673e-05,0.0,0.00011055828563949805,1.3932038027970006e-05,0.22638941021737408,-0.00014927535978435537,0.0001235356754215154,0.0,0.23076762229086076,5.391513869202952e-06,-0.00014927535978435537,0.46996496337821436
6,Normal,Normal,1.0,0.003848969837445667,0.05949716234136061,0.12855413411507077,3.252602699238396e-05,0.0,0.0011299029229104836,0.05559239233478488,0.0,-0.028491114567094352,-0.003363190328346189,0.21924941283464594,-0.0016188085562853745,0.2876760903264686,8.776383344834173e-06,0.002727487336073,0.01202661597730534,0.23195488396431227,0.03117475905101252
7,Normal,Normal,1.0,0.003848969837445667,-0.0014116898087354164,0.06435340141736029,5.984273082152664e-06,0.0,0.00375805147059573,0.22978315803081623,0.0,0.023121173140109027,0.27496886176889557,0.17505220088353646,0.012181934099089681,0.08482172639219307,3.5743753317042234e-07,0.0013816280712100723,0.0015363323682917253,-0.06401740181156361,0.1906153124301418
8,Normal,Normal,1.0,0.003848969837445667,-0.0014160929811166518,0.06377669231936314,5.984273082152664e-06,0.0,0.00375805147059573,0.22978315803081623,0.0,0.023557319413621606,0.27500174462387644,0.17490328341490025,0.01261808037260226,0.08481927685629849,3.5743753317042234e-07,0.0013904436748707763,0.0015451479719524298,-0.0639759174272605,0.19038350071142046
9,Normal,Normal,1.0,0.003848969837445667,-0.0014119372953069157,0.06461977534695933,5.984273082152664e-06,0.0,0.0005460899512357862,0.22878703963469074,0.0,0.016326862925928,0.26925770896605083,0.18909995023680032,0.03526599448231846,0.08143028087977412,7.070105450837477e-05,0.0014030419899732681,0.0013124241580181556,-0.08612939898053791,0.19556651253906115
10,Normal,Normal,1.0,0.003848969837445667,0.0548462916719397,0.1281638049349668,3.252602699238396e-05,0.0,0.000387859954316018,0.08559089457773236,0.0,-0.011165481535774893,0.043972382176736345,0.22107692950672045,-0.006376280155950005,0.3028261183291812,2.8349308777817363e-06,0.0027438477039627776,0.013134890969510845,0.10951235393428253,0.05140205713706158
11,Normal,Normal,1.0,0.003848969837445667,0.17680975459289955,0.0010597143655577948,2.888544940404357e-06,0.0,0.0010011755730090402,0.004842638132510981,0.0,0.06805295143345966,-0.004674214175438385,0.292561471958133,0.06009927412594138,-0.004991832846732857,-6.814227880268927e-06,0.00020268469564941946,0.00020679288496216442,0.0009122634935736274,0.4000722816119707
12,Normal,Normal,1.0,0.003848969837445667,-0.0014407447172264784,0.06457534548707522,5.984273082152664e-06,0.0,0.00375805147059573,0.22898895742111006,0.0,0.016931527891714634,0.27497480816182185,0.1725419289126601,0.03176182466744101,0.08151381469900643,3.4721565604545356e-06,0.001382597747882108,0.0013190449668052716,-0.06593253287577822,0.18576694989980563
13,port-scan,port-scan,1.0,0.07267504467762927,0.14521147970960194,0.12105203878008683,0.0,0.0,0.0,0.00013296311130359058,0.0,0.00031544465053688896,0.0,0.21544830131580245,-0.0003535701915275051,0.0,0.0,0.27944513579690894,1.4154296877148982e-05,-0.0005473479127033493,0.1666063557655295
14,port-scan,port-scan,1.0,0.07267504467762927,0.14521147970960194,0.12105203878008683,0.0,0.0,0.0,0.00013296311130359058,0.0,0.00031544465053688896,0.0,0.21544830131580245,-0.0003535701915275051,0.0,0.0,0.27944513579690894,1.4154296877148982e-05,-0.0005473479127033493,0.1666063557655295
