index,true,pred_label,pred_prob,shap_end,shap_endOffset,shap_rBytesSum,shap_start,shap_sBytesSum,shap_startOffset,shap_sPayloadSum,shap_rPayloadSum,shap_rPackets,shap_sPackets
0,0,0,0.7967273507684227,0.0,0.0,-0.009229027916697887,0.009229027916697856,0.010259120544043557,-0.01025912054404363,0.0,0.0,0.01017744922404283,-0.010177449224042786
1,0,0,0.9676264189105813,0.0,0.0,0.06098719417129702,-0.06098719417129699,0.015220603781790803,-0.015220603781790843,0.0,0.0,0.016861099107434385,-0.016861099107434496
2,1,0,0.8029702626940155,0.0,0.0,0.0014723767943845038,-0.001472376794384488,0.016033784216882258,-0.016033784216882382,0.0,0.0,-0.007529310606513608,0.007529310606513602
3,1,0,0.737628242352382,0.0,0.0,-0.037071199106790506,0.03707119910679053,0.008604581657869348,-0.00860458165786933,0.0,0.0,0.009480702442130026,-0.009480702442130014
4,0,0,0.8863320307249507,0.0,0.0,0.010535548688997795,-0.010535548688997816,0.018101805514753187,-0.018101805514753128,0.0,0.0,0.019681548857596803,-0.01968154885759683
5,1,1,0.9863399420273153,0.0,0.0,-0.0070576118830752346,0.0070576118830751435,-0.1529945379038472,0.15299453790384726,0.0,0.0,-0.11019750670576967,0.11019750670576946
6,0,0,0.9687745093963643,0.0,0.0,0.04008822662581056,-0.040088226625810484,0.022350984463530968,-0.022350984463530947,0.0,0.0,0.02387746324953657,-0.02387746324953666
7,0,0,0.7284836807306228,0.0,0.0,-0.029369985303221116,0.02936998530322111,0.00520727736892632,-0.005207277368926354,0.0,0.0,0.005014878120789038,-0.005014878120789056
8,0,0,0.9589290098511438,0.0,0.0,0.03334482452817639,-0.0333448245281764,0.02285959324863157,-0.022859593248631647,0.0,0.0,0.024397169221744248,-0.024397169221744144
9,0,0,0.969960507746107,0.0,0.0,0.05864881376571267,-0.05864881376571258,0.016394406482244113,-0.016394406482244134,0.0,0.0,0.01800549706811728,-0.018005497068117403
10,0,0,0.7304847878079488,0.0,0.0,-0.03854134858291973,0.038541348582919736,0.007432532037420917,-0.007432532037420934,0.0,0.0,0.008933404623951594,-0.008933404623951676
11,0,0,0.9696811780305054,0.0,0.0,0.059479289072765895,-0.05947928907276593,0.01608869985419277,-0.016088699854192735,0.0,0.0,0.0176723480080876,-0.017672348008087563
12,0,0,0.7273375215950126,0.0,0.0,-0.029973569128220436,0.029973569128220426,0.005199952405536955,-0.005199952405537042,0.0,0.0,0.0050033022161923785,-0.005003302216192426
13,1,1,0.9995866330749105,0.0,0.0,-0.03301399990876106,0.03301399990876114,-0.15452481515253447,0.1545248151525345,0.0,0.0,-0.1816263405532303,0.18162634055323032
14,1,0,0.8797695909337212,0.0,0.0,0.007981349362327918,-0.007981349362327925,0.01822373053925592,-0.01822373053925601,0.0,0.0,0.018849467553971377,-0.018849467553971426
15,0,0,0.9703425480832385,0.0,0.0,0.04601334506018609,-0.046013345060186096,0.020554563052564187,-0.020554563052564253,0.0,0.0,0.022292983442630268,-0.02229298344263025
16,0,0,0.8780635957806406,0.0,0.0,0.009075986829068166,-0.0090759868290681,0.017889997905905744,-0.017889997905905782,0.0,0.0,0.0179899776838882,-0.017989977683888277
17,0,0,0.7511218634150365,0.0,0.0,-0.046861196095125776,0.04686119609512585,0.013029513754089906,-0.013029513754089977,0.0,0.0,0.014467114763550129,-0.014467114763550195
18,0,0,0.971866032894175,0.0,0.0,0.054604554140208865,-0.05460455414020876,0.018116760267753544,-0.01811676026775359,0.0,0.0,0.019631641658216754,-0.01963164165821684
19,1,0,0.7631566251551648,0.0,0.0,-0.04338363653518226,0.0433836365351822,0.014276347325463647,-0.014276347325463734,0.0,0.0,0.015446913284582465,-0.015446913284582493
20,0,0,0.7458965760660674,0.0,0.0,-0.02264651373977336,0.022646513739773548,0.006033252405550969,-0.006033252405551046,0.0,0.0,0.005883820281542071,-0.00588382028154208
21,0,0,0.7727797158774398,0.0,0.0,-0.04563903645369835,0.04563903645369829,0.016093361268366545,-0.016093361268366493,0.0,0.0,0.017565609269873977,-0.017565609269874025
22,0,0,0.969272925472828,0.0,0.0,0.03769799495670775,-0.03769799495670775,0.023453928110343206,-0.023453928110343355,0.0,0.0,0.024643137617974094,-0.02464313761797413
23,1,1,0.9957470621479325,0.0,0.0,-0.03847876597052673,0.03847876597052667,-0.1414535849007724,0.14145358490077242,0.0,0.0,-0.10334566011826209,0.10334566011826217
24,0,0,0.8137407638040463,0.0,0.0,-0.005880252833964289,0.005880252833964303,0.011578185323680951,-0.011578185323680906,0.0,0.0,0.01270164913060577,-0.012701649130605914
